url,taxonomy_ssu,go_terms,run,assembly,accession,taxonomy_lsu,analysis_summary,interpro_identifiers,downloads,sample,taxonomy,go_slim,experiment_type,pipeline_version,study,complete_time,instrument_platform,instrument_model
https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00175795?format=csv,,,https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2172177?format=csv,,MGYA00175795,,"[{'value': '358231', 'key': 'Submitted nucleotide sequences'}, {'value': '356662', 'key': 'Nucleotide sequences after format-specific filtering'}, {'value': '324983', 'key': 'Nucleotide sequences after length filtering'}, {'value': '324983', 'key': 'Nucleotide sequences after undetermined bases filtering'}, {'value': '49346', 'key': 'Nucleotide sequences with predicted CDS'}, {'value': '270929', 'key': 'Nucleotide sequences with predicted RNA'}, {'value': '9901', 'key': 'Nucleotide sequences with InterProScan match'}, {'value': '51290', 'key': 'Predicted CDS'}, {'value': '9939', 'key': 'Predicted CDS with InterProScan match'}, {'value': '15994', 'key': 'Total InterProScan matches'}]",,,https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1972752?format=csv,,,amplicon,4.1,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002473?format=csv,2018-06-29T00:00:00,ILLUMINA,Illumina MiSeq
https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00175796?format=csv,,,https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2172148?format=csv,,MGYA00175796,,"[{'value': '421619', 'key': 'Submitted nucleotide sequences'}, {'value': '420641', 'key': 'Nucleotide sequences after format-specific filtering'}, {'value': '398452', 'key': 'Nucleotide sequences after length filtering'}, {'value': '398452', 'key': 'Nucleotide sequences after undetermined bases filtering'}, {'value': '245717', 'key': 'Nucleotide sequences with predicted CDS'}, {'value': '150559', 'key': 'Nucleotide sequences with predicted RNA'}, {'value': '167335', 'key': 'Nucleotide sequences with InterProScan match'}, {'value': '263008', 'key': 'Predicted CDS'}, {'value': '170346', 'key': 'Predicted CDS with InterProScan match'}, {'value': '341187', 'key': 'Total InterProScan matches'}]",,,https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1972766?format=csv,,,amplicon,4.1,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002473?format=csv,2018-06-29T00:00:00,ILLUMINA,Illumina MiSeq
https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00175797?format=csv,,,https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2172222?format=csv,,MGYA00175797,,"[{'value': '65412', 'key': 'Submitted nucleotide sequences'}, {'value': '65256', 'key': 'Nucleotide sequences after format-specific filtering'}, {'value': '61376', 'key': 'Nucleotide sequences after length filtering'}, {'value': '61376', 'key': 'Nucleotide sequences after undetermined bases filtering'}, {'value': '208', 'key': 'Nucleotide sequences with predicted CDS'}, {'value': '61170', 'key': 'Nucleotide sequences with predicted RNA'}, {'value': '33', 'key': 'Nucleotide sequences with InterProScan match'}, {'value': '219', 'key': 'Predicted CDS'}, {'value': '33', 'key': 'Predicted CDS with InterProScan match'}, {'value': '55', 'key': 'Total InterProScan matches'}]",,,https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1972756?format=csv,,,amplicon,4.1,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002473?format=csv,2018-06-29T00:00:00,ILLUMINA,Illumina MiSeq
https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00175798?format=csv,,,https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2172245?format=csv,,MGYA00175798,,"[{'value': '75751', 'key': 'Submitted nucleotide sequences'}, {'value': '75626', 'key': 'Nucleotide sequences after format-specific filtering'}, {'value': '72982', 'key': 'Nucleotide sequences after length filtering'}, {'value': '72982', 'key': 'Nucleotide sequences after undetermined bases filtering'}, {'value': '158', 'key': 'Nucleotide sequences with predicted CDS'}, {'value': '72827', 'key': 'Nucleotide sequences with predicted RNA'}, {'value': '51', 'key': 'Nucleotide sequences with InterProScan match'}, {'value': '172', 'key': 'Predicted CDS'}, {'value': '51', 'key': 'Predicted CDS with InterProScan match'}, {'value': '98', 'key': 'Total InterProScan matches'}]",,,https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1972831?format=csv,,,amplicon,4.1,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002473?format=csv,2018-06-29T00:00:00,ILLUMINA,Illumina MiSeq
https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00175799?format=csv,,,https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2172207?format=csv,,MGYA00175799,,"[{'value': '75131', 'key': 'Submitted nucleotide sequences'}, {'value': '74865', 'key': 'Nucleotide sequences after format-specific filtering'}, {'value': '70323', 'key': 'Nucleotide sequences after length filtering'}, {'value': '70323', 'key': 'Nucleotide sequences after undetermined bases filtering'}, {'value': '6893', 'key': 'Nucleotide sequences with predicted CDS'}, {'value': '63271', 'key': 'Nucleotide sequences with predicted RNA'}, {'value': '3552', 'key': 'Nucleotide sequences with InterProScan match'}, {'value': '7305', 'key': 'Predicted CDS'}, {'value': '3576', 'key': 'Predicted CDS with InterProScan match'}, {'value': '7377', 'key': 'Total InterProScan matches'}]",,,https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1972781?format=csv,,,amplicon,4.1,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002473?format=csv,2018-06-29T00:00:00,ILLUMINA,Illumina MiSeq
https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00175800?format=csv,,,https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2172230?format=csv,,MGYA00175800,,"[{'value': '94674', 'key': 'Submitted nucleotide sequences'}, {'value': '94475', 'key': 'Nucleotide sequences after format-specific filtering'}, {'value': '89991', 'key': 'Nucleotide sequences after length filtering'}, {'value': '89991', 'key': 'Nucleotide sequences after undetermined bases filtering'}, {'value': '155', 'key': 'Nucleotide sequences with predicted CDS'}, {'value': '89839', 'key': 'Nucleotide sequences with predicted RNA'}, {'value': '8', 'key': 'Nucleotide sequences with InterProScan match'}, {'value': '160', 'key': 'Predicted CDS'}, {'value': '8', 'key': 'Predicted CDS with InterProScan match'}, {'value': '12', 'key': 'Total InterProScan matches'}]",,,https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1972767?format=csv,,,amplicon,4.1,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002473?format=csv,2018-06-29T00:00:00,ILLUMINA,Illumina MiSeq
https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00175801?format=csv,,,https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2172202?format=csv,,MGYA00175801,,"[{'value': '788820', 'key': 'Submitted nucleotide sequences'}, {'value': '785796', 'key': 'Nucleotide sequences after format-specific filtering'}, {'value': '738306', 'key': 'Nucleotide sequences after length filtering'}, {'value': '738306', 'key': 'Nucleotide sequences after undetermined bases filtering'}, {'value': '115133', 'key': 'Nucleotide sequences with predicted CDS'}, {'value': '619197', 'key': 'Nucleotide sequences with predicted RNA'}, {'value': '56824', 'key': 'Nucleotide sequences with InterProScan match'}, {'value': '120412', 'key': 'Predicted CDS'}, {'value': '57245', 'key': 'Predicted CDS with InterProScan match'}, {'value': '110116', 'key': 'Total InterProScan matches'}]",,,https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1972776?format=csv,,,amplicon,4.1,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002473?format=csv,2018-06-29T00:00:00,ILLUMINA,Illumina MiSeq
https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00175802?format=csv,,,https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2172221?format=csv,,MGYA00175802,,"[{'value': '104053', 'key': 'Submitted nucleotide sequences'}, {'value': '103881', 'key': 'Nucleotide sequences after format-specific filtering'}, {'value': '98857', 'key': 'Nucleotide sequences after length filtering'}, {'value': '98857', 'key': 'Nucleotide sequences after undetermined bases filtering'}, {'value': '7879', 'key': 'Nucleotide sequences with predicted CDS'}, {'value': '90838', 'key': 'Nucleotide sequences with predicted RNA'}, {'value': '3651', 'key': 'Nucleotide sequences with InterProScan match'}, {'value': '8489', 'key': 'Predicted CDS'}, {'value': '3770', 'key': 'Predicted CDS with InterProScan match'}, {'value': '7068', 'key': 'Total InterProScan matches'}]",,,https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1972804?format=csv,,,amplicon,4.1,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002473?format=csv,2018-06-29T00:00:00,ILLUMINA,Illumina MiSeq
https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00175803?format=csv,,,https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2172153?format=csv,,MGYA00175803,,"[{'value': '342588', 'key': 'Submitted nucleotide sequences'}, {'value': '340586', 'key': 'Nucleotide sequences after format-specific filtering'}, {'value': '315223', 'key': 'Nucleotide sequences after length filtering'}, {'value': '315223', 'key': 'Nucleotide sequences after undetermined bases filtering'}, {'value': '28986', 'key': 'Nucleotide sequences with predicted CDS'}, {'value': '285123', 'key': 'Nucleotide sequences with predicted RNA'}, {'value': '14668', 'key': 'Nucleotide sequences with InterProScan match'}, {'value': '30662', 'key': 'Predicted CDS'}, {'value': '14772', 'key': 'Predicted CDS with InterProScan match'}, {'value': '25246', 'key': 'Total InterProScan matches'}]",,,https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1972792?format=csv,,,amplicon,4.1,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002473?format=csv,2018-06-29T00:00:00,ILLUMINA,Illumina MiSeq
https://www.ebi.ac.uk/metagenomics/api/v1/analyses/MGYA00175804?format=csv,,,https://www.ebi.ac.uk/metagenomics/api/v1/runs/ERR2172239?format=csv,,MGYA00175804,,"[{'value': '105374', 'key': 'Submitted nucleotide sequences'}, {'value': '105222', 'key': 'Nucleotide sequences after format-specific filtering'}, {'value': '103955', 'key': 'Nucleotide sequences after length filtering'}, {'value': '103955', 'key': 'Nucleotide sequences after undetermined bases filtering'}, {'value': '41', 'key': 'Nucleotide sequences with predicted CDS'}, {'value': '103924', 'key': 'Nucleotide sequences with predicted RNA'}, {'value': '3', 'key': 'Nucleotide sequences with InterProScan match'}, {'value': '43', 'key': 'Predicted CDS'}, {'value': '3', 'key': 'Predicted CDS with InterProScan match'}, {'value': '8', 'key': 'Total InterProScan matches'}]",,,https://www.ebi.ac.uk/metagenomics/api/v1/samples/ERS1972789?format=csv,,,amplicon,4.1,https://www.ebi.ac.uk/metagenomics/api/v1/studies/MGYS00002473?format=csv,2018-06-29T00:00:00,ILLUMINA,Illumina MiSeq
